"Metodo","Valor"
"Quadrant Test (X²)",104.351005174068
"Quadrant Test (p-value)",1.09887169151658e-18
"Max G(r) observado",0.97163534634799
"G teórica CSR (100m)",0.0364695361563674
"K(r) a 1000m",11694298.3195083
"L(r) a 1000m",1929.35192228712
